scheduler,jobs_measured,mean_wait,median_wait,p95_wait,max_wait,mean_bounded_slowdown,p95_bounded_slowdown,mean_turnaround,fairness_gini,gpu_util,preemptions,trace,window,capacity,jobs_total,jobs_dropped_oversized,offered_load
HRRN_USEREST,1434,10019.076708507671,176.5,53681.69999999993,484024.0,16.334235642073526,48.50368852459011,13005.49930264993,0.9015122513340342,0.8712362844729188,0,lanl,11,1024,1971,0,0.958526294849537
SMALLEST_FIRST,1434,16566.89679218968,0.0,178799.89999999953,330398.0,31.246086553248556,45.672660697887935,19553.31938633194,0.9312215007146757,0.8304629488034415,0,lanl,11,1024,1971,0,0.958526294849537
EASY_USEREST,1434,35458.967921896794,27119.0,88112.65,116964.0,172.1801283395041,831.5991666666662,38445.39051603905,0.4207883725806116,0.8816239893438653,0,lanl,11,1024,1971,0,0.958526294849537
EASY_ORACLE,1434,19448.409344490934,11649.5,61615.05,83069.0,53.70335751544882,213.115833333333,22434.831938633193,0.5417846178096117,0.9190068720218741,0,lanl,11,1024,1971,0,0.958526294849537
CONS_BF_USEREST,1434,56895.3179916318,62234.0,109983.9,130303.0,274.13781657460726,1506.5016666666666,59881.74058577406,0.375124062924359,0.8530739179318564,0,lanl,11,1024,1971,0,0.958526294849537
SRPT_ORACLE,1434,4318.869595536959,0.0,12325.199999999992,608026.0,1.316818305181599,2.146166262559009,7305.292189679219,0.9696248977841332,0.8939128949327019,1405,lanl,11,1024,1971,0,0.958526294849537
PROACTIVE,1434,14685.778940027894,0.0,158025.55,283712.0,28.668081881230723,42.72693316614914,17672.20153417015,0.9250244661482264,0.8504711758067067,0,lanl,11,1024,1971,0,0.958526294849537
PROACTIVE_EST,1434,15311.325662482566,0.0,121493.5999999998,618887.0,29.192004523617882,47.37556451612896,18297.748256624825,0.9410805293012726,0.8403918997151564,0,lanl,11,1024,1971,0,0.958526294849537
FCFS,951,3873.3091482649843,0.0,20181.0,102143.0,13.52641447485786,90.41684605348989,7806.677181913775,0.8011358556613897,0.7422805488760578,0,lanl,12,1024,1379,0,0.7613624855324074
FIFO_STRICT,951,20647.358569926393,20725.0,41911.0,61743.0,114.07245487503192,543.625,24580.726603575185,0.3310544107516824,0.7422805488760578,0,lanl,12,1024,1379,0,0.7613624855324074
SJF_ORACLE,951,2934.1840168243953,0.0,18659.0,201696.0,5.016941171721156,15.608333333333334,6867.552050473186,0.9333760180746868,0.7422805488760578,0,lanl,12,1024,1379,0,0.7613624855324074
SJF_USEREST,951,3139.9348054679285,0.0,25018.0,62655.0,6.221427815433908,26.058333333333334,7073.302839116719,0.9032222579466004,0.7422805488760578,0,lanl,12,1024,1379,0,0.7613624855324074
HRRN_USEREST,951,2806.243953732913,0.0,20572.5,59939.0,6.585339247191381,22.388930348258704,6739.611987381703,0.8805158518987884,0.7422805488760578,0,lanl,12,1024,1379,0,0.7613624855324074
SMALLEST_FIRST,951,4146.277602523659,0.0,37921.5,124605.0,9.246528811010574,33.092505402902134,8079.64563617245,0.907076896960928,0.7422805488760578,0,lanl,12,1024,1379,0,0.7613624855324074
EASY_USEREST,951,9743.704521556256,6195.0,30937.0,98233.0,37.61550540576201,188.67826086956524,13677.072555205048,0.6077507908707821,0.7422805488760578,0,lanl,12,1024,1379,0,0.7613624855324074
